city_name,address,lat,lng
Bell Gardens,"Bell Gardens, CA 90201, USA",33.965291799999996,-118.1514588
Bellflower,"Bellflower, CA 90706, USA",33.881681799999996,-118.1170117
Belmont,"Belmont, CA, USA",37.5202145,-122.2758008
Belvedere,"Belvedere, CA, USA",37.872704399999996,-122.46441709999999
Benicia,"Benicia, CA, USA",38.049365,-122.1585777
Berkeley,"Berkeley, CA, USA",37.8715226,-122.27304199999999
Beverly Hills,"Beverly Hills, CA, USA",34.0730715,-118.40162649999999
Big Bear Lake,"Big Bear Lake, CA, USA",34.243896299999996,-116.91142149999999
Biggs,"Biggs, CA, USA",39.412387599999995,-121.7127513
Bishop,"Bishop, CA 93514, USA",37.36139360000001,-118.39523600000001
Blue Lake,"Blue Lake, CA, USA",40.8829072,-123.9839488
Blythe,"Blythe, CA, USA",33.6177725,-114.58826069999999
Bradbury,"Bradbury, CA 91008, USA",34.146951099999995,-117.9708982
Brawley,"Brawley, CA 92227, USA",32.9786566,-115.530267
Brea,"Brea, CA, USA",33.916475,-117.90029179999998
Brentwood,"Brentwood, CA 94513, USA",37.931868,-121.69578629999998
Brisbane,"Brisbane, CA, USA",37.684764799999996,-122.4023808
Buellton,"Buellton, CA 93427, USA",34.613597,-120.19265049999998
Buena Park,"Buena Park, CA, USA",33.8674044,-117.99813869999998
Burbank,"Burbank, CA, USA",34.1820605,-118.3074827
Burlingame,"Burlingame, CA, USA",37.5778696,-122.34809
Calabasas,"Calabasas, CA, USA",34.1539731,-118.64738009999999
Calexico,"Calexico, CA, USA",32.6789476,-115.4988834
California City,"California City, CA, USA",35.125800999999996,-117.98590379999997
Calimesa,"Calimesa, CA, USA",34.0039039,-117.06197549999999
Calipatria,"Calipatria, CA 92233, USA",33.1255957,-115.51415379999999
Calistoga,"Calistoga, CA 94515, USA",38.578796499999996,-122.57970540000001
Camarillo,"Camarillo, CA, USA",34.2163937,-119.0376023
Campbell,"Campbell, CA, USA",37.287165099999996,-121.94995680000001
Capitola,"Capitola, CA, USA",36.9752283,-121.95329299999999
Carlsbad,"Carlsbad, CA, USA",33.1640648,-117.34108189999998
Carmel-by-the-Sea,"Carmel-By-The-Sea, CA 93921, USA",36.555238599999996,-121.9232879
Carpinteria,"Carpinteria, CA, USA",34.39888380000001,-119.51845639999999
Carson,"Carson, CA, USA",33.8316745,-118.281693
Cathedral City,"Cathedral City, CA, USA",33.780538799999995,-116.4668036
Ceres,"Ceres, CA, USA",37.5947202,-120.95688150000001
Cerritos,"Cerritos, CA, USA",33.8659295,-118.0638802
Chico,"Chico, CA, USA",39.7282839,-121.83799780000001
Chino,"Chino, CA, USA",34.0136813,-117.6905621
Chino Hills,"Chino Hills, CA, USA",33.9898188,-117.7325848
Chowchilla,"Chowchilla, CA 93610, USA",37.1229997,-120.2601754
Chula Vista,"Chula Vista, CA, USA",32.6400541,-117.0841955
Citrus Heights,"Citrus Heights, CA, USA",38.6782547,-121.292459
Claremont,"Claremont, CA, USA",34.0966764,-117.71977849999998
Clayton,"Clayton, CA, USA",37.941034099999996,-121.93579249999999
Clearlake,"Clearlake, CA, USA",38.961808999999995,-122.63129719999999
Cloverdale,"Cloverdale, CA 95425, USA",38.805462399999996,-123.0172227
Clovis,"Clovis, CA, USA",36.8252277,-119.70291939999998
Coachella,"Coachella, CA, USA",33.6803003,-116.173894
Coalinga,"Coalinga, CA 93210, USA",36.1397611,-120.36030620000001
