"city_name","type","county","pop_2020","pop_2010","area_mi2","county_seat","incorporation_date","google_lat","google_lng"
"Hawthorne","City","Los Angeles",88083,84293,6.09,FALSE,"July 12, 1922",33.9164032,-118.3525748
"Hayward","City","Alameda",162954,144186,45.82,FALSE,"March 11, 1876",37.6687665,-122.0809964
"Healdsburg","City","Sonoma",11340,11254,4.42,FALSE,"February 20, 1867",38.6081693,-122.8700509
"Hemet","City","Riverside",89833,78657,29.28,FALSE,"January 20, 1910",33.7475203,-116.9719684
"Hercules","City","Contra Costa",26016,24060,6.41,FALSE,"December 15, 1900",38.0171441,-122.2885808
"Hermosa Beach","City","Los Angeles",19728,19506,1.43,FALSE,"January 14, 1907",33.8622366,-118.3995194
"Hesperia","City","San Bernardino",99818,90173,72.68,FALSE,"July 1, 1988",34.4237122,-117.315605
"Hidden Hills","City","Los Angeles",1725,1856,1.69,FALSE,"January 19, 1961",34.1648798,-118.6647537
"Highland","City","San Bernardino",56999,53104,18.57,FALSE,"November 24, 1987",34.1211873,-117.2015791
"Hillsborough","Town","San Mateo",11387,10825,6.17,FALSE,"May 5, 1910",37.5741032,-122.3794163
"Hollister","City","San Benito",41678,34928,7.96,TRUE,"March 26, 1872",36.8524545,-121.4016021
"Holtville","City","Imperial",5605,5939,1.15,FALSE,"July 1, 1908",32.8111612,-115.3802643
"Hughson","City","Stanislaus",7481,6640,1.91,FALSE,"December 9, 1972",37.6020139,-120.8653488
"Huntington Beach","City","Orange",198711,189992,27,FALSE,"February 17, 1909",33.6594835,-117.9988026
"Huntington Park","City","Los Angeles",54883,58114,3.01,FALSE,"September 1, 1906",33.9792805,-118.2191062
"Huron","City","Fresno",6206,6754,1.6,FALSE,"May 3, 1951",36.2027308,-120.1029177
"Imperial","City","Imperial",20263,14758,6.29,FALSE,"July 12, 1904",32.8475528,-115.5694391
"Imperial Beach","City","San Diego",26137,26324,4.29,FALSE,"July 18, 1956",32.5839444,-117.1130849
"Indian Wells","City","Riverside",4757,4958,14.32,FALSE,"July 14, 1967",33.717631,-116.3407549
"Indio","City","Riverside",89137,76036,33.23,FALSE,"May 16, 1930",33.7205771,-116.2155619
"Inglewood","City","Los Angeles",107762,109673,9.07,FALSE,"February 7, 1908",33.9617977,-118.3533544
"Ione","City","Amador",5141,7918,4.58,FALSE,"March 23, 1953",38.3526912,-120.9327177
"Irvine","City","Orange",307670,212375,65.61,FALSE,"December 28, 1971",33.6845673,-117.8265049
"Irwindale","City","Los Angeles",1472,1422,8.83,FALSE,"August 6, 1957",34.1069527,-117.9353413
"Isleton","City","Sacramento",794,804,0.44,FALSE,"May 14, 1923",38.1618052,-121.6115432
"Jackson","City","Amador",5019,4651,3.58,TRUE,"December 5, 1905",38.3488023,-120.7741018
"Jurupa Valley","City","Riverside[12]",105053,95004,42.94,FALSE,"July 1, 2011",33.9942737,-117.4971606
"Kerman","City","Fresno",16016,13544,3.27,FALSE,"July 2, 1946",36.7235572,-120.059879
"King City","City","Monterey",13332,12874,3.8,FALSE,"February 9, 1911",36.2127439,-121.1260287
"Kingsburg","City","Fresno",12380,11382,3.72,FALSE,"May 29, 1908",36.5139516,-119.5541061
"La Cañada Flintridge","City","Los Angeles",20573,20246,8.63,FALSE,"November 30, 1976",34.2068182,-118.2000277
"La Habra","City","Orange",63097,60239,7.56,FALSE,"January 20, 1925",33.9318591,-117.946137
"La Habra Heights","City","Los Angeles",5682,5325,6.16,FALSE,"December 4, 1978",33.9608461,-117.9506186
"La Mesa","City","San Diego",61121,57065,9.09,FALSE,"February 16, 1912",32.7678287,-117.0230839
"La Mirada","City","Los Angeles",48008,48527,7.82,FALSE,"March 23, 1960",33.9172357,-118.0120086
"La Palma","City","Orange",15581,15568,1.78,FALSE,"October 26, 1955",33.8463218,-118.0461393
"La Puente","City","Los Angeles",38062,39816,3.48,FALSE,"August 1, 1956",34.0200114,-117.9495083
"La Quinta","City","Riverside",37558,37467,35.26,FALSE,"May 1, 1982",33.6633573,-116.3100095
"La Verne","City","Los Angeles",31334,31063,8.42,FALSE,"August 20, 1906",34.1008426,-117.7678355
"Lafayette","City","Contra Costa",25391,23893,15.02,FALSE,"July 29, 1968",37.8857582,-122.1180201
"Laguna Beach","City","Orange",23032,22723,8.89,FALSE,"June 29, 1927",33.5427189,-117.7853568
"Laguna Hills","City","Orange",31374,30344,6.55,FALSE,"December 20, 1991",33.5916433,-117.6986604
"Laguna Niguel","City","Orange",64355,62979,14.74,FALSE,"December 1, 1989",33.5236744,-117.7149438
